run_id,class,primary_signal,justification
33f0ef8f-78ee-47d0-8791-b58525edcf73,A,"iters 3-15 write-edit-verify cycle","Repeated edit/write/verify cycles across 15 iters, non-converging; timeout without success."
54821247-a1b4-4e5b-9ce5-c3703ebbe640,C,"iter_19 input_tokens=7830","Context pressure at ~80% ceiling; 23 iters w/ 51.7K total tokens; expr.js touched 8x."
5d672641-62c9-479c-9119-b501a22d26cf,F,"censored trace + iter 19-21 repeat reads","Insufficient granular evidence; timeout at 21 iters; 1 repeat call; censored=True."
2581b0a1-337f-43ec-aa4c-963b84facae6,F,"censored+stream_aborted_mid_run","Run terminated by timeout with censored data; truncated excerpts prevent root cause discrimination."
3b08a713-b31a-45db-93ff-428acfb0968c,F,"successful_completion","Completed successfully (exit_code 0); 5 workspace changes; no convergence failure or clear pathology."
054b203e-1ba1-49fd-ae05-4b9612f5d684,F,"iter13-success","Normal iterative dev; no repeated errors; completed successfully with low non-model gap."
c93bc980-ec99-411e-9a7f-1943a37a41b1,A,"iters 7-14 edit/bash cycles","Sustained edit/bash cycles on expr.js iters 7-14 without convergence; ws_changed 4x; exit=error."
78af6409-dbaa-40d4-9ba4-6e921f3f106e,D,"iter 17-19 repeated bash verify calls","16 iters bash(verify) no code changes; arg_hash repeats; workspace_changed=False."
a519015a-0886-4ee4-96a9-0bbbb93434a9,D,"iter 10-12 repeated expr.js writes w/o verify bash; timeout","Iters 10-12 write expr.js with different hashes, no intervening verify; timeout + censoring."
ca26e07f-e350-4b06-ace9-8f2d1d927b0a,F,"no dominant signal","Successful completion with 15 iters; single repeat at iter14; input 20% ctx; no module/verify/context errors."
6e6843b2-24a4-4998-a55b-5fb398150ae5,F,"terminal_error_with_incomplete_iteration_14","Run terminated with 14 iters and 7 workspace changes; insufficient error signature detail for A/B/C/D."
80859dae-b084-495f-8791-e41d2a0af721,F,"successful_completion","Successful run (exit_code=0) without failure-mode signatures."
8fee0126-0c2c-4afb-a0a0-1daaef6aaa3f,D,"iters 9-15 edit_file loop","Repeated identical edit_file calls with malformed old_string, no result/workspace change across 4+ iters."
a26a7976-b900-4c2d-ad4e-14bba3109848,F,"edit_file_errors_recovered","edit_file failures iters 7,9 recovered via bash rewrite iter 18; no persistent loop."
